attA	attB	defA	defB	midA	midB	ratA	ratB	tierA	tierB	winA
90.5	86.8	85.33	83.83	91.33	87.0	88.55	85.64	1.0	1.0	1.0
90.5	88.5	85.33	86.5	91.33	88.75	88.55	87.64	1.0	1.0	1.0
90.5	89.5	85.33	86.33	91.33	89.0	88.55	88.09	1.0	1.0	0.0
90.5	88.0	85.33	85.5	91.33	86.33	88.55	86.18	1.0	1.0	-1.0
90.5	85.25	85.33	83.17	91.33	85.0	88.55	84.45	1.0	1.0	1.0
90.5	80.5	85.33	79.67	91.33	81.25	88.55	80.91	1.0	2.0	1.0
90.5	90.0	85.33	86.17	91.33	90.33	88.55	88.64	1.0	1.0	1.0
90.5	84.0	85.33	80.33	91.33	84.33	88.55	83.09	1.0	2.0	1.0
90.5	80.0	85.33	77.33	91.33	80.0	88.55	79.09	1.0	2.0	1.0
90.5	84.0	85.33	78.83	91.33	84.0	88.55	82.0	1.0	2.0	1.0
90.5	82.33	85.33	77.33	91.33	84.5	88.55	80.45	1.0	2.0	0.0
90.5	82.0	85.33	80.67	91.33	83.67	88.55	81.82	1.0	2.0	1.0
90.5	80.0	85.33	81.0	91.33	81.75	88.55	81.18	1.0	2.0	1.0
90.5	83.0	85.33	80.17	91.33	82.0	88.55	81.27	1.0	2.0	1.0
90.5	78.0	85.33	72.17	91.33	73.25	88.55	73.27	1.0	3.0	1.0
90.5	79.75	85.33	76.83	91.33	79.25	88.55	78.36	1.0	2.0	1.0
90.5	84.5	85.33	81.5	91.33	84.33	88.55	82.91	1.0	2.0	-1.0
90.5	78.33	85.33	78.33	91.33	79.33	88.55	78.45	1.0	2.0	1.0
90.5	80.67	85.33	76.33	91.33	80.33	88.55	79.27	1.0	2.0	1.0
86.8	88.5	83.83	86.5	87.0	88.75	85.64	87.64	1.0	1.0	-1.0
86.8	89.5	83.83	86.33	87.0	89.0	85.64	88.09	1.0	1.0	-1.0
86.8	88.0	83.83	85.5	87.0	86.33	85.64	86.18	1.0	1.0	1.0
86.8	85.25	83.83	83.17	87.0	85.0	85.64	84.45	1.0	1.0	1.0
86.8	80.5	83.83	79.67	87.0	81.25	85.64	80.91	1.0	2.0	1.0
86.8	90.0	83.83	86.17	87.0	90.33	85.64	88.64	1.0	1.0	-1.0
86.8	84.0	83.83	80.33	87.0	84.33	85.64	83.09	1.0	2.0	1.0
86.8	80.0	83.83	77.33	87.0	80.0	85.64	79.09	1.0	2.0	1.0
86.8	84.0	83.83	78.83	87.0	84.0	85.64	82.0	1.0	2.0	1.0
86.8	82.33	83.83	77.33	87.0	84.5	85.64	80.45	1.0	2.0	1.0
86.8	82.0	83.83	80.67	87.0	83.67	85.64	81.82	1.0	2.0	-1.0
86.8	80.0	83.83	81.0	87.0	81.75	85.64	81.18	1.0	2.0	1.0
86.8	83.0	83.83	80.17	87.0	82.0	85.64	81.27	1.0	2.0	1.0
86.8	78.0	83.83	72.17	87.0	73.25	85.64	73.27	1.0	3.0	1.0
86.8	79.75	83.83	76.83	87.0	79.25	85.64	78.36	1.0	2.0	1.0
86.8	84.5	83.83	81.5	87.0	84.33	85.64	82.91	1.0	2.0	1.0
86.8	78.33	83.83	78.33	87.0	79.33	85.64	78.45	1.0	2.0	1.0
86.8	80.67	83.83	76.33	87.0	80.33	85.64	79.27	1.0	2.0	1.0
88.5	89.5	86.5	86.33	88.75	89.0	87.64	88.09	1.0	1.0	-1.0
88.5	88.0	86.5	85.5	88.75	86.33	87.64	86.18	1.0	1.0	-1.0
88.5	85.25	86.5	83.17	88.75	85.0	87.64	84.45	1.0	1.0	1.0
88.5	80.5	86.5	79.67	88.75	81.25	87.64	80.91	1.0	2.0	1.0
88.5	90.0	86.5	86.17	88.75	90.33	87.64	88.64	1.0	1.0	-1.0
88.5	84.0	86.5	80.33	88.75	84.33	87.64	83.09	1.0	2.0	1.0
88.5	80.0	86.5	77.33	88.75	80.0	87.64	79.09	1.0	2.0	1.0
88.5	84.0	86.5	78.83	88.75	84.0	87.64	82.0	1.0	2.0	1.0
88.5	82.33	86.5	77.33	88.75	84.5	87.64	80.45	1.0	2.0	1.0
88.5	82.0	86.5	80.67	88.75	83.67	87.64	81.82	1.0	2.0	1.0
