ClubA	ClubB	meanScoreA	meanScoreB
Manchester City	Liverpool	1	1
Manchester City	Tottenham Hotspur	1	1
Manchester City	Chelsea	1	1
Manchester City	Arsenal	1	1
Manchester City	Everton	1	1
Manchester City	Bournemouth	2	1
Manchester City	Manchester United	1	1
Manchester City	Leicester City	2	1
Manchester City	Brighton & Hove Albion	2	1
Manchester City	Watford	2	1
Manchester City	Wolverhampton Wanderers	2	1
Manchester City	West Ham United	2	1
Manchester City	Newcastle United	2	1
Manchester City	Crystal Palace	2	1
Manchester City	Cardiff City	3	1
Manchester City	Huddersfield Town	2	1
Manchester City	Southampton	2	1
Manchester City	Burnley	2	1
Manchester City	Fulham	2	1
Liverpool	Manchester City	1	1
Liverpool	Tottenham Hotspur	1	1
Liverpool	Chelsea	1	1
Liverpool	Arsenal	1	1
Liverpool	Everton	1	1
Liverpool	Bournemouth	2	1
Liverpool	Manchester United	1	1
Liverpool	Leicester City	2	1
Liverpool	Brighton & Hove Albion	2	1
Liverpool	Watford	2	1
Liverpool	Wolverhampton Wanderers	2	1
Liverpool	West Ham United	2	1
Liverpool	Newcastle United	2	1
Liverpool	Crystal Palace	2	1
Liverpool	Cardiff City	3	1
Liverpool	Huddersfield Town	2	1
Liverpool	Southampton	2	1
Liverpool	Burnley	2	1
Liverpool	Fulham	2	1
Tottenham Hotspur	Manchester City	1	1
Tottenham Hotspur	Liverpool	1	1
Tottenham Hotspur	Chelsea	1	1
Tottenham Hotspur	Arsenal	1	1
Tottenham Hotspur	Everton	1	1
Tottenham Hotspur	Bournemouth	2	1
Tottenham Hotspur	Manchester United	1	1
Tottenham Hotspur	Leicester City	2	1
Tottenham Hotspur	Brighton & Hove Albion	2	1
Tottenham Hotspur	Watford	2	1
Tottenham Hotspur	Wolverhampton Wanderers	2	1
Tottenham Hotspur	West Ham United	2	1
Tottenham Hotspur	Newcastle United	2	1
Tottenham Hotspur	Crystal Palace	2	1
Tottenham Hotspur	Cardiff City	3	1
Tottenham Hotspur	Huddersfield Town	2	1
Tottenham Hotspur	Southampton	2	1
Tottenham Hotspur	Burnley	2	1
Tottenham Hotspur	Fulham	2	1
Chelsea	Manchester City	1	1
Chelsea	Liverpool	1	1
Chelsea	Tottenham Hotspur	1	1
Chelsea	Arsenal	1	1
Chelsea	Everton	1	1
Chelsea	Bournemouth	2	1
Chelsea	Manchester United	1	1
Chelsea	Leicester City	2	1
Chelsea	Brighton & Hove Albion	2	1
Chelsea	Watford	2	1
Chelsea	Wolverhampton Wanderers	2	1
Chelsea	West Ham United	2	1
Chelsea	Newcastle United	2	1
Chelsea	Crystal Palace	2	1
Chelsea	Cardiff City	3	1
Chelsea	Huddersfield Town	2	1
Chelsea	Southampton	2	1
Chelsea	Burnley	2	1
Chelsea	Fulham	2	1
Arsenal	Manchester City	1	1
Arsenal	Liverpool	1	1
Arsenal	Tottenham Hotspur	1	1
Arsenal	Chelsea	1	1
Arsenal	Everton	1	1
Arsenal	Bournemouth	2	1
Arsenal	Manchester United	1	1
Arsenal	Leicester City	2	1
Arsenal	Brighton & Hove Albion	2	1
Arsenal	Watford	2	1
Arsenal	Wolverhampton Wanderers	2	1
Arsenal	West Ham United	2	1
Arsenal	Newcastle United	2	1
Arsenal	Crystal Palace	2	1
Arsenal	Cardiff City	3	1
Arsenal	Huddersfield Town	2	1
Arsenal	Southampton	2	1
Arsenal	Burnley	2	1
Arsenal	Fulham	2	1
Everton	Manchester City	1	1
Everton	Liverpool	1	1
Everton	Tottenham Hotspur	1	1
Everton	Chelsea	1	1
Everton	Arsenal	1	1
Everton	Bournemouth	2	1
Everton	Manchester United	1	1
Everton	Leicester City	2	1
Everton	Brighton & Hove Albion	2	1
Everton	Watford	2	1
Everton	Wolverhampton Wanderers	2	1
Everton	West Ham United	2	1
Everton	Newcastle United	2	1
Everton	Crystal Palace	2	1
Everton	Cardiff City	3	1
Everton	Huddersfield Town	2	1
Everton	Southampton	2	1
Everton	Burnley	2	1
Everton	Fulham	2	1
Bournemouth	Manchester City	1	2
Bournemouth	Liverpool	1	2
