Club,Squad,Formation,Tier,Rating,Attack,Midfield,Defence
Crystal Palace,"[u'W. Hennessey' u'T. Fosu-Mensah' u'M. Sakho' u'J. Riedewald' u'W. Zaha'
 u'R. Loftus-Cheek' u'C. Benteke' u'L. Milivojevi\u0107' u'Y. Cabaye'
 u'A. Townsend' u'L. Dreher']",3-5-2,2,81.27,83.0,82.0,80.17
Manchester United,"[u'De Gea' u'E. Bailly' u'V. Lindel\xf6f' u'L. Shaw' u'P. Pogba'
 u'R. Lukaku' u'A. Martial' u'A. Gomes' u'M. Rashford'
 u'Z. Ibrahimovi\u0107' u'H. Mkhitaryan']",3-5-2,1,88.64,90.0,90.33,86.17
Liverpool,"[u'L. Karius' u'J. Matip' u'A. Oxlade-Chamberlain' u'N. Clyne' u'Coutinho'
 u'S. Man\xe9' u'Roberto Firmino' u'M. Salah' u'G. Wijnaldum' u'E. Can'
 u'M. Gruji\u0107']",3-5-2,1,85.64,86.8,,83.83
Fulham,"[u'M. Bettinelli' u'Rafa Soares' u'T. Kalas' u'S. Sessegnon'
 u'R. Sessegnon' u'S. Ojo' u'T. Cairney' u'Rui Fonte' u'Lucas Piazon'
 u'I. Ciss\xe9' u'A. Kamara']",3-5-2,2,79.27,80.67,81.5,76.33
Southampton,"[u'F. Forster' u'V. van Dijk' u'W. Hoedt' u'C\xe9dric' u'J. Ward-Prowse'
 u'N. Redmond' u'S. Boufal' u'M. Gabbiadini' u'M. Lemina' u'Oriol Romeu'
 u'P. H\xf8jbjerg']",3-5-2,2,82.91,84.5,83.0,81.5
Tottenham Hotspur,"[u'H. Lloris' u'D. S\xe1nchez' u'T. Alderweireld' u'J. Foyth'
 u'C. Eriksen' u'H. Kane' u'D. Alli' u'E. Dier' u'M. Edwards' u'H. Son'
 u'V. Wanyama']",3-5-2,1,87.64,88.5,89.33,86.5
Wolverhampton Wanderers,"[u'H. Burgoyne' u""A. N'Diaye"" u'K. Hause' u'R. Sa\xefss' u'R\xfaben Neves'
 u'Diogo Jota' u'H\xe9lder Costa' u'L\xe9o Bonatini' u'B. Enobakhare'
 u'Ivan Cavaleiro' u'C. Ronan']",3-5-2,2,80.45,82.33,84.5,77.33
West Ham United,"[u'J. Hart' u'M. Antonio' u'A. Masuaku' u'E. Fernandes' u'W. Reid'
 u'M. Lanzini' u'M. Arnautovi\u0107' u'J. Hern\xe1ndez' u'Pedro Obiang'
 u'Domingos Quina' u'S. Hak\u0161abanovi\u010d']",4-4-2,2,81.82,82.0,83.67,80.67
Manchester City,"[u'Ederson' u'B. Mendy' u'V. Kompany' u'J. Stones' u'K. De Bruyne'
 u'Gabriel Jesus' u'Bernardo Silva' u'L. San\xe9' u'S. Ag\xfcero'
 u'David Silva' u'I. G\xfcndo\u011fan']",3-5-2,1,88.55,90.5,91.33,85.33
Arsenal,"[u'P. \u010cech' u'H\xe9ctor Beller\xedn' u'S. Mustafi' u'R. Holding'
 u'L. Koscielny' u'A. S\xe1nchez' u'M. \xd6zil' u'A. Lacazette'
 u'G. Xhaka' u'A. Iwobi' u'J. Wilshere']",4-4-2,1,86.18,88.0,86.33,85.5
Bournemouth,"[u'A. Begovi\u0107' u'N. Ak\xe9' u'S. Cook' u'T. Mings' u'L. Cook'
 u'J. King' u'J. Defoe' u'R. Fraser' u'J. Ibe' u'E. Hyndman' u'C. Wilson']",3-5-2,2,80.91,80.5,81.33,79.67
