	Team 1	Team 2	Home_team_score	Away_team_score
0	Blackburn Rovers FC 	Wolverhampton Wanderers FC 	1	2
1	Fulham FC 	Aston Villa FC 	0	0
2	Liverpool FC 	Sunderland AFC 	1	1
3	Newcastle United FC 	Arsenal FC 	0	0
4	Queens Park Rangers FC 	Bolton Wanderers FC 	0	4
5	Wigan Athletic FC 	Norwich City FC 	1	1
6	Stoke City FC 	Chelsea FC 	0	0
7	West Bromwich Albion FC 	Manchester United FC 	1	2
8	Manchester City FC 	Swansea City AFC 	4	0
9	Arsenal FC 	Liverpool FC 	0	2
10	Aston Villa FC 	Blackburn Rovers FC 	3	1
11	Chelsea FC 	West Bromwich Albion FC 	2	1
12	Everton FC 	Queens Park Rangers FC 	0	1
13	Sunderland AFC 	Newcastle United FC 	0	1
14	Swansea City AFC 	Wigan Athletic FC 	0	0
15	Bolton Wanderers FC 	Manchester City FC 	2	3
16	Norwich City FC 	Stoke City FC 	1	1
17	Wolverhampton Wanderers FC 	Fulham FC 	2	0
18	Manchester United FC 	Tottenham Hotspur FC 	3	0
19	Aston Villa FC 	Wolverhampton Wanderers FC 	0	0
20	Blackburn Rovers FC 	Everton FC 	0	1
21	Chelsea FC 	Norwich City FC 	3	1
22	Liverpool FC 	Bolton Wanderers FC 	3	1
23	Swansea City AFC 	Sunderland AFC 	0	0
24	Wigan Athletic FC 	Queens Park Rangers FC 	2	0
25	Manchester United FC 	Arsenal FC 	8	2
26	Newcastle United FC 	Fulham FC 	2	1
27	Tottenham Hotspur FC 	Manchester City FC 	1	5
28	West Bromwich Albion FC 	Stoke City FC 	0	1
29	Arsenal FC 	Swansea City AFC 	1	0
30	Bolton Wanderers FC 	Manchester United FC 	0	5
31	Everton FC 	Aston Villa FC 	2	2
32	Manchester City FC 	Wigan Athletic FC 	3	0
33	Stoke City FC 	Liverpool FC 	1	0
34	Sunderland AFC 	Chelsea FC 	1	2
35	Wolverhampton Wanderers FC 	Tottenham Hotspur FC 	0	2
36	Fulham FC 	Blackburn Rovers FC 	1	1
37	Norwich City FC 	West Bromwich Albion FC 	0	1
38	Queens Park Rangers FC 	Newcastle United FC 	0	0
39	Aston Villa FC 	Newcastle United FC 	1	1
40	Blackburn Rovers FC 	Arsenal FC 	4	3
41	Bolton Wanderers FC 	Norwich City FC 	1	2
42	Everton FC 	Wigan Athletic FC 	3	1
43	Swansea City AFC 	West Bromwich Albion FC 	3	0
44	Wolverhampton Wanderers FC 	Queens Park Rangers FC 	0	3
45	Fulham FC 	Manchester City FC 	2	2
46	Manchester United FC 	Chelsea FC 	3	1
47	Sunderland AFC 	Stoke City FC 	4	0
48	Tottenham Hotspur FC 	Liverpool FC 	4	0
49	Arsenal FC 	Bolton Wanderers FC 	3	0
50	Chelsea FC 	Swansea City AFC 	4	1
51	Liverpool FC 	Wolverhampton Wanderers FC 	2	1
52	Manchester City FC 	Everton FC 	2	0
53	Newcastle United FC 	Blackburn Rovers FC 	3	1
54	Stoke City FC 	Manchester United FC 	1	1
55	West Bromwich Albion FC 	Fulham FC 	0	0
56	Wigan Athletic FC 	Tottenham Hotspur FC 	1	2
57	Queens Park Rangers FC 	Aston Villa FC 	1	1
58	Norwich City FC 	Sunderland AFC 	2	1
59	Aston Villa FC 	Wigan Athletic FC 	2	0
60	Blackburn Rovers FC 	Manchester City FC 	0	4
61	Everton FC 	Liverpool FC 	0	2
62	Manchester United FC 	Norwich City FC 	2	0
63	Sunderland AFC 	West Bromwich Albion FC 	2	2
64	Wolverhampton Wanderers FC 	Newcastle United FC 	1	2
65	Bolton Wanderers FC 	Chelsea FC 	1	5
66	Fulham FC 	Queens Park Rangers FC 	6	0
67	Swansea City AFC 	Stoke City FC 	2	0
68	Tottenham Hotspur FC 	Arsenal FC 	2	1
69	Chelsea FC 	Everton FC 	3	1
70	Liverpool FC 	Manchester United FC 	1	1
71	Manchester City FC 	Aston Villa FC 	4	1
72	Norwich City FC 	Swansea City AFC 	3	1
73	Queens Park Rangers FC 	Blackburn Rovers FC 	1	1
74	Stoke City FC 	Fulham FC 	2	0
75	Wigan Athletic FC 	Bolton Wanderers FC 	1	3
76	Arsenal FC 	Sunderland AFC 	2	1
77	Newcastle United FC 	Tottenham Hotspur FC 	2	2
78	West Bromwich Albion FC 	Wolverhampton Wanderers FC 	2	0
79	Aston Villa FC 	West Bromwich Albion FC 	1	2
